项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,c52e72f,alhaad,2017-07-22T03:23:57Z,Fix typo.,https://github.com/cfenollosa/os-tutorial/commit/c52e72f647a09245cc2da61783f5c543cab104a5
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,9f013c0,Carlos Fenollosa,2017-04-14T20:16:08Z,Update README.md,https://github.com/cfenollosa/os-tutorial/commit/9f013c0642ba974f78d02aa02ec8f7e12a4945b9
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,4d8e4dc,Carlos Fenollosa,2017-02-17T08:28:45Z,typo,https://github.com/cfenollosa/os-tutorial/commit/4d8e4dc26e4bc25fd0344e8402f47b13cc26c22d
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,d9eab4d,Carlos Fenollosa,2016-10-24T08:59:19Z,Merge pull request #10 from maxkl/patch-1  Fix comment for number of sectors to read,https://github.com/cfenollosa/os-tutorial/commit/d9eab4dbb66d190e13b0b910cc5287bbfb023f49
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,38a1981,Carlos Fenollosa,2016-10-24T08:58:40Z,Updated link to JamesM's tutorial. Close #11,https://github.com/cfenollosa/os-tutorial/commit/38a1981d37c8f1a1054b14603dd97997bfad5ad7
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,170aa62,Max Klein,2016-10-12T19:22:55Z,Fix comment for number of sectors to read,https://github.com/cfenollosa/os-tutorial/commit/170aa62c8ae2ffadbb47836de9eb03856863de4e
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,9b8a625,Carlos Fenollosa,2016-04-25T18:27:36Z,Merge pull request #6 from erginbilgin/master  update READMEs,https://github.com/cfenollosa/os-tutorial/commit/9b8a625412c081d6a106301f46a19f29bfb13fa2
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,5f776d0,Ergin Bilgin,2016-04-13T09:28:52Z,update READMEs  fixed typo,https://github.com/cfenollosa/os-tutorial/commit/5f776d0e4911ac8e79d09dbcdca583da618bb61a
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,3fd359e,Carlos,2016-01-10T19:14:58Z,"Lesson 24, upgrading to El Capitan",https://github.com/cfenollosa/os-tutorial/commit/3fd359e8ebe70803a44bab7f7ba09d4b965c1587
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,19cb91f,Carlos,2016-01-10T19:14:02Z,"Lesson 24, upgrading to El Capitan",https://github.com/cfenollosa/os-tutorial/commit/19cb91f8fef068c1d28ae7e754ca295f935d10cf
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,d8babee,Carlos Fenollosa,2015-11-13T15:28:19Z,Update README.md,https://github.com/cfenollosa/os-tutorial/commit/d8babeefc13f94e3ac74e7d8a5497b30c0458809
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,d8b3bb4,Carlos,2015-08-28T08:52:36Z,"Lesson 26, step 6",https://github.com/cfenollosa/os-tutorial/commit/d8b3bb483f3bbb25f110791a71bacc441a42cdb3
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,b109691,Carlos,2015-08-28T08:52:05Z,"Lesson 23, section 6",https://github.com/cfenollosa/os-tutorial/commit/b1096911798788421a4d5c44fc7f2da138c8e24f
