项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,6436bbe,Benjamin DELPY,2019-08-13T23:42:18Z,A commit to make Carlos @darkoperator happy [new] mimikatz lsadump::cache /dcc:<hash> to support pushing a previous one without knowing NTLM or password [new] mimikatz misc::lock to lock the session of current user/all users if available (privilege::debug) [fix #220] that damn wcsicmp/_wcsicmp ;),https://github.com/gentilkiwi/mimikatz/commit/6436bbe7bc9712fdacc99ca0ca6b0fcfcb853187
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,46bede3,Benjamin DELPY,2019-07-20T21:04:25Z,[new] mimikatz dpapi::ps function to deal with PSCredential and SecureString XML files. [fix #214] Fis sekurlsa key import for Windows 1809,https://github.com/gentilkiwi/mimikatz/commit/46bede3a8ced2a70f9287e5458a1d8e0439ec120
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,46a0af7,Benjamin DELPY,2019-07-10T21:32:26Z,"[new] sr98::noralsy encoder, sr98::em4100 reader [fix] net::trust legacy flags [fix] dpapi decrypt by rpc, remove /system flag (incompatible with system key)",https://github.com/gentilkiwi/mimikatz/commit/46a0af7bb81649872a6ec7294564b6fbd4dcdf3c
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,b4f9467,Benjamin DELPY,2019-05-12T23:38:31Z,[fix] mimikatz sekurlsa::kerberos for Windows 1903 (build 18362) for x86,https://github.com/gentilkiwi/mimikatz/commit/b4f9467b9f55704e3309d3f793b06e16b175c8cf
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,68ac65b,Benjamin DELPY,2019-05-12T23:17:31Z,[new] mimikatz Windows 10 1903 (build 18362) support,https://github.com/gentilkiwi/mimikatz/commit/68ac65b426d1b9e1354dd0365676b1ead15022de
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,c3b4af1,Benjamin DELPY,2019-05-03T23:57:46Z,[removing] mimikatz sekurlsa module: removing a particular encryption/decryption for a Windows beta,https://github.com/gentilkiwi/mimikatz/commit/c3b4af16363cc7fb72a13972dc88c4f7b0675647
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,72b83ac,Benjamin DELPY,2019-05-03T23:54:38Z,"[new] mimikatz sekurlsa module now supports minidumps from NT 5, on NT >= 6 too",https://github.com/gentilkiwi/mimikatz/commit/72b83acb297f50758b0ce1de33f722e70f476250
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,4d4d047,Benjamin DELPY,2019-05-01T21:22:02Z,[new] mimikatz for NT5 (XP/2003) now supports DES-X-CBC and RC4 without LSASRV.DLL (thank you @NielsFerguson),https://github.com/gentilkiwi/mimikatz/commit/4d4d047b50c9869fac30016b55751bb8048445ba
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,8c4bae5,Benjamin DELPY,2019-04-28T20:12:10Z,[fix] mimilib subauth: even BadPasswordCount to be compatible with Kerberos pre-auth,https://github.com/gentilkiwi/mimikatz/commit/8c4bae5fa054d1d03a47b6bd99e9ecda1b99588c
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,641a3b2,Benjamin DELPY,2019-04-15T00:10:47Z,[new] lsadump::changentlm & lsadump::setntlm are now supporting /rid instead of /user [interne] crypto::scauth try to set the signature PIN when exchange fails,https://github.com/gentilkiwi/mimikatz/commit/641a3b29acd326d07269300d94dceafea041f760
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,5fc3351,Benjamin DELPY,2019-04-11T23:25:20Z,[fix #199] Allow dpapi::chrome to open DB without lock (library update to support win32-none VFS) thank you @psychomario ! [new] net::trust adds LDAP search to get objectGuid for lsadump::dcsync usage,https://github.com/gentilkiwi/mimikatz/commit/5fc3351d7a3723fafb3efea448abc9c56b042853
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,ac46e32,Benjamin DELPY,2019-04-08T22:53:35Z,[update] mimidrv for 2016 up to date [interna] cosmetic,https://github.com/gentilkiwi/mimikatz/commit/ac46e32d06250aab87885622ff8ca2a41d2de852
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,6910c7b,Benjamin DELPY,2019-04-04T21:47:54Z,[new] mimikatz net::deleg now support /server and /dns arguments,https://github.com/gentilkiwi/mimikatz/commit/6910c7b930b9f1115d2fe1623c906f51e8e85311
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,e84c57f,Benjamin DELPY,2019-03-29T02:11:00Z,[new] net::deleg function in mimikatz [new] owl module for Cam,https://github.com/gentilkiwi/mimikatz/commit/e84c57f6cbb5ffffdab4e8f130bf422cde64a41e
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,b008188,Benjamin DELPY,2019-03-25T00:57:56Z,"Big update :) [new] mimikatz & mimilib **very** experimental support for ARM64 [better] code for Mifare protocol [better] code for sekurlsa WinDBG plugin (credential keys, still not good enough) [new] mimilib sub authentication package for @vletoux with 'bad password knocking' and magic password [new] mimikatz: unmarshalling usernames when marshalled [fix] mimikatz SR98/RDM/Busylight could previously crash [fix #184] again and again ;) [fix #172] swscanf_s VS ARRAYSIZE macro [fix #127] stdout/stdin/stderr vs modern Visual Studio and Windows XP support (thank you @Crypt0-M3lon) [code] refactor for defined / !defined",https://github.com/gentilkiwi/mimikatz/commit/b008188f9fe5668b5dae80c210290c7efa872ffa
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,fe6a853,Benjamin DELPY,2018-12-09T23:03:02Z,[new] mimikatz eventlog patch for 1803 ( for @darkoperator ) [new] mimikatz version includes maximum Windows build number tested,https://github.com/gentilkiwi/mimikatz/commit/fe6a853ec3e7ff50d79dd608dbed5e05cfab3322
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,2fd09bb,Benjamin DELPY,2018-12-03T01:06:10Z,[new] mimikatz & mimidrv full support for Windows 1809,https://github.com/gentilkiwi/mimikatz/commit/2fd09bbef0754317cd97c01dbbf49698ae23d9d2
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,e380feb,Benjamin DELPY,2018-09-25T22:06:44Z,[new/fix] misc::memssp for Windows 10 1803 x64,https://github.com/gentilkiwi/mimikatz/commit/e380febb615b4fd1afb8ddcadd5e30e48c155202
gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,b87468c,Benjamin DELPY,2018-08-20T00:01:41Z,[new] mimikatz dpapi::rdg to decrypt saved passwords in RDG files (Remote Desktop Connection Manager),https://github.com/gentilkiwi/mimikatz/commit/b87468c1b4689adb9c15156a364c20886fa8866e
