项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,0738d0a,kerami,2019-08-14T23:47:34Z,Update README-tr.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/0738d0aa8b8ceafef266e8d071ed94e22ed9da01
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,996ae68,kerami,2019-08-14T23:34:37Z,Update README-tr.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/996ae68b5e566d93e69cee400e0bdffd4b28f6a1
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,09e0868,kerami,2019-08-14T23:27:07Z,Update README-tr.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/09e0868acc2db980ac2480e4cb4d65462e68cb6f
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,7462c28,kerami,2019-08-14T23:03:26Z,Update README-tr.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/7462c2895d57f06586277c6d700bc38c11626123
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,73a24a1,Awesome-HarmonyOS,2019-08-14T12:36:14Z,Update README-zh.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/73a24a1d794c164a153cac2c76f65a2359fd8c57
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,0916ba5,Awesome-HarmonyOS,2019-08-14T12:34:06Z,Update README-tr.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/0916ba525bb117a6bc0f2a342fb0bef86ef80c84
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,473b556,Awesome-HarmonyOS,2019-08-14T12:29:24Z,Merge pull request #90 from keramiozsoy/tr-doc  add Tr doc,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/473b5562f48e54ad033198267ee26bbddd7913b7
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,484e049,kerami,2019-08-14T12:13:30Z,Update README.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/484e0494015d655b624723770888844d627bf206
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,dba23af,kerami,2019-08-14T12:12:24Z,Update README-tr.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/dba23af4f20b2805e388da6e905bf38d00893fe1
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,0ff598b,kerami,2019-08-14T12:09:09Z,Update README-tr.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/0ff598bdbefd8c62abd8109b7e1c15a05da72155
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,d8398df,kerami,2019-08-14T11:52:41Z,Create README-tr.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/d8398df2da4dcc170c3cbbde07be136bf3459d47
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,d2a6fc4,Awesome-HarmonyOS,2019-08-14T09:37:15Z,Merge pull request #88 from wangyufeng0615/patch-1  typo fix,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/d2a6fc4eda297a9d2915793976d5774a1ac68071
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,7e054e7,Alan Wang,2019-08-14T08:09:07Z,typo fix,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/7e054e7ac499dc9a087da42c4560722cde4ca48a
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,ab7dbf2,Awesome-HarmonyOS,2019-08-14T05:19:48Z,Merge pull request #86 from zhantx/master  update,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/ab7dbf2f24f4b0cf224849a07e3f06fcb054ed79
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,0655b2e,Awesome-HarmonyOS,2019-08-14T05:19:23Z,Merge pull request #85 from RubyCedar/master  Update README.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/0655b2ec6e8befdd14a68ab278cd4afd47966f26
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,53e4096,James Zhan,2019-08-14T04:05:28Z,Update Readme,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/53e40961b2fcbfc9b79e8aa524302e5219fef322
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,c1d9a84,卜睿,2019-08-14T03:29:03Z,Update README.md  A mistake in grammar,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/c1d9a843734e53b7ebb87cdb434a8ca52333f281
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,c3b722d,Awesome-HarmonyOS,2019-08-13T05:36:43Z,Merge pull request #78 from haxianhe/update_doc  有错别字,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/c3b722d93d577683573bbbe44dd3779a3cb5f31a
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,5ca4cc5,haxianhe,2019-08-13T03:51:25Z,有错别字,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/5ca4cc566047d899a4079ab12c9c03f53785d337
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,e87c854,Awesome-HarmonyOS,2019-08-12T19:13:06Z,Merge pull request #77 from aslafy-z/patch-1  Did you mean Harmony ?,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/e87c85449dd6254c016562262070757665548bf3
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,f3c32b5,Zadkiel,2019-08-12T18:29:51Z,Did you mean Harmony ?,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/f3c32b5e1deab16106670da5995ac0f25760f54e
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,86c7297,Awesome-HarmonyOS,2019-08-12T08:32:57Z,Update README.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/86c7297b6303797151fc9db4f8d6b108b760425b
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,8a733d8,Awesome-HarmonyOS,2019-08-12T05:19:53Z,Update README.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/8a733d837e7ba6d27400b3a793d930cc72105fff
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,51d4c90,Awesome-HarmonyOS,2019-08-12T04:32:29Z,Update README.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/51d4c90d04be94e021e953748af8a51362c02aea
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,e92d87e,Awesome-HarmonyOS,2019-08-12T04:30:37Z,Update README.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/e92d87ea44a52edd3a3251f64568c757481743ca
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,1cbc381,Awesome-HarmonyOS,2019-08-12T04:28:46Z,Update README.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/1cbc38136bea6ecf72cd7c09cfb72f667dfd93dd
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,110b739,Awesome-HarmonyOS,2019-08-12T04:16:47Z,Merge pull request #36 from yvisherve/patch-1  Fix issue with images display,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/110b73984e9de5369f2a874c1dd0dd432cb2224a
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,62c8f43,Hervé Yvis,2019-08-11T23:16:33Z,Fix issue with images display,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/62c8f43b0a27181031a8b157dc1d9f47ec396946
Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,9612fc9,Awesome-HarmonyOS,2019-08-11T20:10:12Z,Update README-zh.md,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/9612fc98820da507e1f0311f5da8fd01f9dfbf51
